business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_type,risk_category,neighborhoods,inspection_year,inspection_month,inspection_day
3649,94103,37.765708,-122.409002,82,103131,1,2,53,2017,12,6
2929,94109,37.790523,-122.413158,98,103142,1,1,50,2018,6,4
3025,94122,37.754086,-122.47835,88,103149,1,1,39,2018,3,14
2334,94110,37.755693,-122.40665,88,103116,2,2,53,2017,11,28
37350,94103,37.785386,-122.403723,94,103149,1,1,32,2019,4,12
99,94108,37.794293,-122.405967,84,103148,3,1,104,2018,8,8
19076,94118,37.781153,-122.45936,85,103109,1,3,5,2018,10,22
247,94118,37.782953,-122.46351,86,103131,1,2,5,2016,11,14
184,94110,37.755124,-122.420916,90,103129,3,2,53,2018,2,13
3594,94122,37.760423,-122.505209,90,103139,2,1,39,2018,6,21
19094,94118,37.786663,-122.451147,90,103124,1,2,11,2018,2,22
1154,94103,37.764678,-122.421905,46,103119,3,2,37,2019,3,27
1636,94117,37.771738,-122.433583,88,103149,1,1,26,2018,10,3
36758,94117,37.771988,-122.431564,89,103120,2,2,26,2018,10,3
2926,94102,37.788673,-122.408524,82,103139,2,1,19,2017,3,16
2131,94123,37.800528,-122.438664,92,103139,2,1,17,2017,12,14
14740,94122,37.753338,-122.497572,98,103154,1,1,39,2019,9,20
7764,94115,37.78659,-122.429815,90,103154,1,1,101,2018,7,18
37482,94127,37.740144,-122.466569,92,103120,2,2,46,2018,2,22
39295,94102,37.782583,-122.409919,94,103145,2,1,20,2018,2,7
33920,94102,37.780989,-122.413686,84,103118,1,2,20,2017,9,27
36348,94110,37.762217,-122.415035,77,103131,1,2,53,2019,10,2
1289,94114,37.758132,-122.435614,94,103133,1,2,115,2016,12,6
4868,94102,37.776524,-122.425607,90,103145,2,1,22,2017,7,6
409,94105,37.788613,-122.393894,83,103144,4,1,32,2017,6,27
35565,94102,37.784148,-122.411224,87,103119,3,2,20,2017,9,5
60518,94116,37.742743,-122.481749,78,103149,1,1,40,2017,8,24
64454,94105,37.787925,-122.400953,80,103105,2,3,108,2019,6,25
60355,94102,37.780994,-122.413637,88,103133,1,2,20,2017,9,27
510,94122,37.753633,-122.48954,87,103120,2,2,39,2016,11,9
73,94115,37.788932,-122.433895,88,103124,1,2,102,2017,11,29
7772,94110,37.752549,-122.414425,84,103144,4,1,53,2019,1,8
59934,94103,37.775357,-122.402758,92,103133,1,2,32,2018,2,12
59044,94110,37.749851,-122.415121,78,103119,3,2,53,2018,1,22
2841,94132,37.708887,-122.497934,94,103144,4,1,43,2017,8,18
3046,94115,37.788773,-122.434697,94,103145,2,1,103,2017,5,5
3838,94103,37.764908,-122.422442,72,103120,2,2,37,2018,2,22
2995,94103,37.776127,-122.408602,85,103131,1,2,32,2019,3,5
38258,94112,37.722898,-122.436086,68,103114,1,3,90,2019,1,8
6636,94102,37.777053,-122.416939,88,103161,1,1,21,2018,4,17
